idStazione;Stazione;Provincia;Quota;UTM_Nord;UTM_EST;Fiume;Bacino;IdDV;IdNeve;idTerm;IdVV;IdPluv;IdIdro;IdRG;IdUR
569;SONDRIO v.Mazzini;SO;307;5113078,44000000;567173,30000000;;;;;5930;;5929;;6469;
570;TIRANO Viale Italia;SO;439;5118891,20000000;589196,94000000;;;;;5932;;5931;;;6191
571;BORMIO v.Monte Braulio;SO;1225;5147136,21000000;605598,62000000;;;;;5922;;5921;;;6186
572;MORBEGNO v.Cortivacci;SO;262;5108901,74000000;543736,56000000;;;19123;;5928;19122;5927;;;6189
573;COLICO v.La Madoneta;LC;229;5109468,96000000;529713,82000000;;;19111;;5877;19110;5876;;;6164
574;LECCO v. Amendola;LC;214;5077479,48000000;530713,39000000;;;;;;;5878;;6588;
575;NIBIONNO v.della Chiesa;LC;310;5066429,84000000;520613,33000000;;;19114;;5883;19113;5882;;;6167
578;VARENNA v.Polvani;LC;220;5095134,31000000;522088,86000000;;;;;;;5884;;;
582;BERGAMO v.S.Giorgio;BG;249;5058641,67000000;552746,76000000;;;;;5866;;5859;;6433;6160
583;BERGAMO v.Meucci;BG;249;5059922,66000000;550116,80000000;;;19099;;;19098;;;;
584;BERGAMO v.Garibaldi;BG;249;5060449,63000000;551482,79000000;;;5990;;5867;6103;5860;;;
586;COSTA VOLPINO v.Nazionale;BG;192;5075429,12000000;585212,70000000;;;19102;;5868;19101;5861;;6434;6161
594;BERGAMO v.Goisis;BG;290;5062715,56000000;553620,78000000;;;19105;;5864;19104;5857;;6431;6158
595;FILAGO v.Don Milani;BG;190;5053519,85000000;543342,85000000;;;19150;;5863;19149;5856;;6430;6157
596;OSIO SOTTO v.per Levate;BG;182;5052072,00000000;547691,00000000;;;19108;;5865;19107;5858;;6432;6159
598;SAN ROCCO AL PORTO v.Matteotti;LO;50;4992297,54000000;555154,34000000;;;;;5890;;;;;6170
614;RODANO v.Turati;MI;112;5035511,22000000;527631,13000000;;;;;5917;;5916;;;6183
617;TAVAZZANO CON VILLAVESCO Enel suolo;LO;80;5020175,29000000;533401,05000000;;;;;5888;;5887;;6443;6169
620;MILANO v.Brera;MI;122;5035365,17000000;514782,01000000;;;19009;;5897;19008;19373;;19374;6174
625;CASALMAGGIORE v.Volta;CR;23;4981793,42000000;612537,50000000;;;9320;;5966;9321;9322;;6437;6407
628;CREMONA p.zza Libertà;CR;61;4998730,35000000;581171,98000000;;;;;5968;;9325;;;
629;CREMA v.XI febbraio;CR;79;5023885,25000000;555127,49000000;;;19154;;5969;19153;9329;;6440;6421
635;TAVAZZANO CON VILLAVESCO Enel;LO;80;5020197,29000000;533382,05000000;;;6017;;;9334;;;;
642;PAVIA v. Folperti;PV;77;5004590,72000000;512932,86000000;;;;;6698;;6694;;6696;6699
644;VIGEVANO v.Petrarca;PV;107;5019220,67000000;489053,09000000;;;6717;;6727;6729;6723;;6725;6728
646;COMO Villa Gallia;CO;201;5073500,04000000;505203,56000000;;;19066;;9310;19065;9308;;;9311
653;BRESCIA v.Ziziola;BS;125;5040836,72000000;595170,11000000;;;19077;;6795;19076;6792;;;6796
654;SAREZZO v.Minelli;BS;269;5055826,00000000;593900,00000000;;;19081;;;19080;;;;
656;GAMBARA v.Parma;BS;47;5011493,92000000;601945,78000000;;;19089;;6823;19088;6819;;;6824
657;LONATO DEL GARDA v.del Marchesino;BS;180;5035536,60000000;615762,85000000;;;;;6834;;;;;6835
659;ODOLO v.Praes;BS;349;5055661,28000000;608260,16000000;;;;;6849;;6846;;;6850
670;MANTOVA S.Agnese;MN;22;5002356,93000000;641122,73000000;;;;;9812;;;;;9813
671;MANTOVA Tridolino;MN;22;5001664,90000000;646147,60000000;;;9815;;9819;9821;9816;;9818;9820
672;CORNALE v.Libertà;PV;74;4987406,88000000;493238,90000000;;;;;9868;;9863;;9865;9869
677;CREMONA Via Fatebenefratelli;CR;43;4999315,33000000;582066,95000000;;;19158;;9938;19157;9933;;9935;9939
679;VALMADRERA v.Pozzi;LC;247;5076576,55000000;527307,44000000;;;6987;;6992;6995;6986;;;6994
687;FERNO v.Di Dio;VA;215;5051773,43000000;481053,50000000;;;19047;;7029;19046;10373;;7028;7030
695;PONTI SUL MINCIO v.San Martino;MN;113;5030184,59000000;631718,49000000;;;7042;;7046;7048;7043;;7045;7047
706;LECCO v.Sora;LC;272;5078987,45000000;531045,41000000;;;19117;;10377;19116;10376;;10382;10381
815;ARENA PO Spessa;PV;64;4994306,71000000;527217,72000000;Po;PO;;;;;;8099;;
816;SERMIDE E FELONICA SP 91;MN;10;4987208,12000000;680433,78000000;Po;PO;17509;;8223;17507;8222;8154;17506;
817;PAVIA SS 35;PV;71;5003026,00000000;511523,00000000;Ticino;TICINO SUBLACUALE;17504;;8157;17502;8155;8546;17501;
818;GERA LARIO Fuentes;CO;199;5110832,91000000;531836,80000000;Adda;ADDA SOPRALACUALE;;;;;8111;8112;;
819;LOZIO ;BS;994;5093242,21000000;597570,23000000;;;;;8133;;8170;;;
820;PISOGNE ;BS;842;5074267,81000000;589881,38000000;;;;;8134;;8169;;;
821;AZZONE Dezzo di Scalve;BG;767;5092204,34000000;585456,77000000;;;;;;;8171;;;
822;VALTORTA ;BG;982;5091256,08000000;541747,39000000;;;;;11007;;8097;;;11008
823;PIAZZA BREMBANA vivaio;BG;510;5088280,04000000;552145,17000000;;;;;14317;;8098;;;14320
824;CLUSONE Campo Sportivo;BG;591;5081860,08000000;573451,99000000;;;;;8146;;8160;;11140;
826;GAVARDO SP 116;BS;205;5049767,35000000;612403,05000000;Chiese;OGLIO SUBLACUALE;;;;;11025;8110;;
832;LANZADA Palù;SO;2151;5126972,46000000;568128,62000000;;;11854;8093;8092;11661;8094;;32363;32259
833;GEROLA ALTA Pescegallo;SO;1875;5097116,70000000;544202,30000000;;;11855;8014;8013;11662;8015;;32360;32262
835;VALDISOTTO Oga S. Colombano;SO;2300;5145272,25000000;600293,93000000;;;11856;8009;8008;11663;8010;;9827;8011
836;APRICA ;SO;1950;5109097,71000000;588704,71000000;;;11857;8017;8016;11664;8018;;14038;14039
846;EDOLO Pantano d`Avio;BS;2108;5114768,88000000;613679,81000000;;;11858;8020;8019;11665;8021;;9785;11190
847;CARONA Carisole;BG;1954;5098634,00000000;561423,00000000;;;11859;8024;17580;11666;8025;;9786;17583
848;LIVIGNO La Vallaccia;SO;2660;5147768,42000000;591251,61000000;;;11860;8028;8027;11667;8029;;9828;8030
849;BORGOFORTE SS 12;MN;18;4989487,00000000;638276,00000000;Po;PO;;;;;;8101;;
851;TREVISO BRESCIANO Cavacca;BS;1147;5064493,94000000;616659,22000000;;;;;8104;;8103;;;11984
852;LAVENONE Galleria Agricoltori - fiume;BS;370;5065630,00000000;612858,27000000;Chiese;OGLIO SUBLACUALE;;;;;;8105;;
853;IDRO SS 237;BS;388;5065944,97000000;613772,27000000;Eridio;ERIDIO;;;;;;8107;;
854;CALCINATO Ponte S.Marco;BS;145;5036665,61000000;609910,92000000;Deriv. Chiese;OGLIO SUBLACUALE;;;;;8182;;;
855;VARZI v.Mazzini;PV;485;4963189,98000000;515657,72000000;;;;;8002;;8001;;;
856;FORTUNAGO ;PV;501;4973248,93000000;515391,78000000;;;14704;;8007;14705;8006;;17511;32238
857;SANTA MARGHERITA DI STAFFORA Passo del Giovà;PV;1363;4947846,00000000;517168,00000000;;;14733;12745;8005;14734;8004;;17477;32339
858;SANTA MARGHERITA DI STAFFORA Casanova;PV;575;4957210,03000000;518916,65000000;Staffora;STAFFORA;17568;;8202;17567;8201;;;
859;LUINO v. Piero Chiara;VA;205;5094539,86000000;480080,08000000;Verbano;VERBANO;17616;;8164;17615;8163;8380;;
860;ANGERA v.le Repubblica;VA;202;5068671,22000000;466871,83000000;Verbano;VERBANO;;;;;8167;8381;;
861;GOLASECCA Miorina;VA;204;5060406,32000000;472667,65000000;Ticino;TICINO SUBLACUALE;;;;;;8113;;
