numero_stazione,nome,stalls_geometry,anno,nil,id_nil,municipio
239,Marussig - Castelvetro,POINT (9.166089000309636 45.48637906637643),2015,SARPI,69,8
241,Stuparich - Albani,POINT (9.144220664805479 45.48292086628227),2015,DE ANGELI - MONTE ROSA,58,8
248,Teodorico - Gattamelata,POINT (9.151537094286564 45.48445832985374),2015,PORTELLO,67,8
249,Vigliani - Scarampo,POINT (9.148235562555598 45.48246785380862),2015,DE ANGELI - MONTE ROSA,58,8
255,Nigra - Castellini,POINT (9.170590821062273 45.49626265389929),2015,FARINI,78,9
256,Lancetti Passante - Maloja,POINT (9.176459044788894 45.49484289176747),2015,FARINI,78,9
257,Valtellina - Aprica,POINT (9.182439757376377 45.49301023176412),2015,ISOLA,11,9
259,Amendola M1,POINT (9.151710936565717 45.473636854118055),2015,DE ANGELI - MONTE ROSA,58,8
270,Stelvio - Farini,POINT (9.184962599752463 45.49479276404717),2015,ISOLA,11,9
307,Piazzi - Bernina,POINT (9.181075233590587 45.494496052481196),2015,FARINI,78,9
309,Carlo Magno - Alcuino,POINT (9.155818453121435 45.4815012168721),2015,PORTELLO,67,8
318,Gioia - Carissimi,POINT (9.202225986920514 45.49069387827717),2015,MACIACHINI - MAGGIOLINA,12,2
