numero_stazione,nome_stazione,longitudine,latitudine,cluster,lon_cluster,lat_cluster,cluster_id_nil,cluster_nil
175,Pagano - Guido d'Arezzo,9.160470425418156,45.46818499820461,9,9.156449532864558,45.46723831157891,68,PAGANO
176,Buonarroti,9.15541758083375,45.470830970092656,9,9.156449532864558,45.46723831157891,68,PAGANO
178,V Alpini,9.167807573855882,45.47224538866541,42,9.167761624987874,45.46905782814461,7,MAGENTA - S. VITTORE
179,Giovanni XXIII,9.164187624067027,45.47493003515734,32,9.162543604490589,45.477367823735584,68,PAGANO
180,Canova - Sangiorgio,9.168357659543728,45.47531762966962,3,9.171222136215034,45.47653477130534,68,PAGANO
181,Sempione - Melzi d'Eril,9.169728696907224,45.47781160729468,3,9.171222136215034,45.47653477130534,68,PAGANO
182,Melzi d'Eril - Cagnola,9.172919259953677,45.47830842545999,3,9.171222136215034,45.47653477130534,68,PAGANO
183,Domodossola FNM - Filelfo,9.162848881711108,45.48038559535331,32,9.162543604490589,45.477367823735584,68,PAGANO
184,Porta Volta,9.1822642436663,45.48007280316197,10,9.180432613299287,45.47889805449334,69,SARPI
185,Santissima Trinita',9.176329098054824,45.47808798449008,10,9.180432613299287,45.47889805449334,69,SARPI
186,Procaccini - Gramsci,9.168344980318228,45.48197739080087,33,9.169111767074,45.480819416667906,69,SARPI
187,Sarpi - Albertini,9.17226513244496,45.481003752916685,33,9.169111767074,45.480819416667906,69,SARPI
188,Sarpi - Niccolini,9.178149817997593,45.48163617750311,10,9.180432613299287,45.47889805449334,69,SARPI
190,Milizie - Tortona,9.156112022843647,45.45042821658724,21,9.15545064676163,45.45251396902823,50,PORTA GENOVA
191,Farini - Quadrio,9.182111144606836,45.48395833298285,27,9.184443835878634,45.48628872031331,9,PORTA GARIBALDI - PORTA NUOVA
192,Col di Lana - Col Moschin,9.184554216886497,45.45181160561009,20,9.180512578796787,45.452092889306236,6,PORTA TICINESE - CONCA DEL NAVIGLIO
193,Garibaldi - Pepe,9.185046378228185,45.486722910529295,27,9.184443835878634,45.48628872031331,9,PORTA GARIBALDI - PORTA NUOVA
194,Borsieri - Confalonieri,9.188382539165564,45.48542432772852,27,9.184443835878634,45.48628872031331,9,PORTA GARIBALDI - PORTA NUOVA
195,Pola RL,9.1932486599137,45.48910060756533,40,9.192429133196702,45.49008228646361,11,ISOLA
