id_amat;ubicazione;linee;LONG_X_4326;LAT_Y_4326;Location
13747;Via Trieste prima di Via degli Aceri;321;9.10615223241305;45.4254435907309;"(45.4254435907309, 9.10615223241305)"
13748;Via della Liberazione fronte 3;321;9.10840433262801;45.4342175319781;"(45.4342175319781, 9.10840433262801)"
13749;"Via della Liberazione, 6 prima di Via Copernico";321;9.10650875901728;45.4366360963631;"(45.4366360963631, 9.10650875901728)"
13750;"Via Roma, 111 dopo Via Fermi";321;9.09948642401863;45.4389796780827;"(45.4389796780827, 9.09948642401863)"
13751;Via Roma prima di Via M.te Rosa;321;9.09792358000545;45.4403656932083;"(45.4403656932083, 9.09792358000545)"
13752;"Via Milano, 32 prima di V.le della Repubblica";"321,322,323";9.09818626342251;45.4420718261738;"(45.4420718261738, 9.09818626342251)"
13753;"Via Milano, 48 prima di Via Buonarroti";321;9.10294547789057;45.4440067205344;"(45.4440067205344, 9.10294547789057)"
13754;Via Volta prima di Via Colombo;321;9.10628932450303;45.4449137733225;"(45.4449137733225, 9.10628932450303)"
13769;Autostazione Famagosta M2;59;9.1692073954563;45.437277859869;"(45.437277859869, 9.1692073954563)"
13771;Autostazione Famagosta M2;74;9.16873528677847;45.4363882434329;"(45.4363882434329, 9.16873528677847)"
13774;Assago Forum M2;"321,352";9.1459655819345;45.4004067111738;"(45.4004067111738, 9.1459655819345)"
13775;Via Cadorna dopo Via Brodolini;83;9.1805930750884;45.5422237501175;"(45.5422237501175, 9.1805930750884)"
13778;"P.za Firenze, prima di via Caracciolo";69;9.15711066038134;45.4883529210241;"(45.4883529210241, 9.15711066038134)"
13785;"SS. 35 dei Giovi, 75 prima di Via Somalia (MOLINAZZO)";"165,729";9.1590796606284;45.5402934755434;"(45.5402934755434, 9.1590796606284)"
13786;"SS. 35 dei Giovi, 102 dopo Via F. Filzi (CORMANO)";165;9.15773697920073;45.5439586995468;"(45.5439586995468, 9.15773697920073)"
13787;"SS. 35 dei Giovi, 172 prima di Via Tiziano (OSPITALETTO)";165;9.15551434895948;45.549684804577;"(45.549684804577, 9.15551434895948)"
13788;"SS. 35 dei Giovi, 14 prima di Via Tripoli (TONOLLI)";165;9.15420730655773;45.553688968806;"(45.553688968806, 9.15420730655773)"
13790;"Via Reali, dopo Via M.te Bello (CASCINA AMATA)";165;9.14811733429;45.5709336705801;"(45.5709336705801, 9.14811733429)"
13791;Via Reali dopo Via Magretti (CASCINA AMATA PAESE);165;9.14687952339338;45.5748191322357;"(45.5748191322357, 9.14687952339338)"
13792;"Via Comasina, 14 dopo Via Monte Sabotino (CASTELLETTO)";165;9.14562434428217;45.5805742723916;"(45.5805742723916, 9.14562434428217)"
