FID,TIPO,DTIPO,NOME,EXTRA_RL,DEXTRA_RL,geometry
235,1,Stazione,BELLINZONA,2,Esterno confine regionale,POINT (501991.01806920837 5115446.33078756)
236,1,Stazione,CADENAZZO,2,Esterno confine regionale,POINT (496179.6303027998 5111091.978910782)
237,1,Stazione,ST. MORITZ,2,Esterno confine regionale,POINT (564530.0391405263 5149492.212823243)
238,1,Stazione,PONTRESINA,2,Esterno confine regionale,POINT (569371.8124343096 5148426.168871613)
239,1,Stazione,PALIDANO,1,Interno  confine regionale,POINT (640845.7375364478 4980343.885683052)
240,1,Stazione,VILLANOVA DI REGGIOLO,2,Esterno confine regionale,POINT (645689.8513552267 4974693.554779905)
241,1,Stazione,TERRASA,1,Interno  confine regionale,POINT (465597.55624627776 5002993.9949386595)
242,1,Stazione,COZZO,1,Interno  confine regionale,POINT (469247.9037189239 5003760.448831543)
243,1,Stazione,CASTELLO D' AGOGNA,1,Interno  confine regionale,POINT (475398.12758402084 5008264.362257144)
244,1,Stazione,PINAROLO PO',1,Interno  confine regionale,POINT (513441.5852518698 4991099.413951902)
245,1,Stazione,CORBETTA,1,Interno  confine regionale,POINT (492679.9870192616 5035900.477932084)
246,1,Stazione,MI-BULLONA,1,Interno  confine regionale,POINT (512656.0308964846 5037119.672221313)
247,1,Stazione,VAREDO,1,Interno  confine regionale,POINT (511419.9337396717 5049971.654605541)
248,1,Stazione,MARANO TICINO,2,Esterno confine regionale,POINT (470760.5877044265 5052960.959255597)
249,1,Stazione,VANZAGHELLO,1,Interno  confine regionale,POINT (482969.4552983293 5046289.989788028)
250,1,Stazione,BUSTO ARSIZIO N.,1,Interno  confine regionale,POINT (489124.0399721609 5051858.879277625)
251,1,Stazione,VENEGONO INFERIORE,1,Interno  confine regionale,POINT (491928.2185368543 5064968.266135512)
252,1,Stazione,CASBENO,1,Interno  confine regionale,POINT (485134.66481665993 5073667.145848533)
253,1,Stazione,TERNATE-VARANO BORGHI,1,Interno  confine regionale,POINT (476728.3602888791 5069927.6650585)
254,1,Stazione,AMBIVERE-MAPELLO,1,Interno  confine regionale,POINT (542734.95194691 5063492.124569153)
255,1,Stazione,PROVAGLIO D'ISEO,1,Interno  confine regionale,POINT (580402.1673334514 5054137.102317424)
256,1,Stazione,DESENZANO DEL GARDA-SIRMIONE,1,Interno  confine regionale,POINT (620053.1670555901 5035524.093310276)
257,1,Stazione,CARAVAGGIO,1,Interno  confine regionale,POINT (550260.947313895 5037504.599442311)
258,2,Scalo,SEGRATE,1,Interno  confine regionale,POINT (520496.69768787763 5035649.691024994)
259,1,Stazione,SORBOLO,2,Esterno confine regionale,POINT (614177.2374723433 4966194.377382175)
