numero_stazione,nome_stazione,anno,null_obs_ranking,nil,id_nil,municipio,longitudine,latitudine
001,Duomo,2008,very_low,DUOMO,1,1,9.189141462641917,45.46474597340785
003,Cadorna 1,2008,very_low,MAGENTA - S. VITTORE,7,1,9.175661673055156,45.46800286489534
004,Lanza,2008,very_low,BRERA,2,1,9.181970059045605,45.47227398001715
005,Universita' Cattolica,2008,very_low,DUOMO,1,1,9.176411553596575,45.46312096737842
006,San Giorgio,2008,very_low,DUOMO,1,1,9.18366605858828,45.46088788086489
007,Santa Maria Beltrade,2008,very_low,DUOMO,1,1,9.186745326611513,45.46284824996911
008,Velasca,2008,very_low,DUOMO,1,1,9.19029606587832,45.46010042667759
009,S. Stefano,2008,very_low,DUOMO,1,1,9.195239434282264,45.46237015894886
010,Missori,2008,very_low,DUOMO,1,1,9.18824619107111,45.46131859260033
011,Castello - Acquario civico,2008,very_low,PARCO SEMPIONE,8,1,9.179319559595502,45.47251701348578
012,"San Lorenzo - ""Colonne""",2008,very_low,DUOMO,1,1,9.181626953089728,45.458603445990924
013,Senato,2008,very_low,GUASTALLA,4,1,9.197534248930417,45.47050593175577
014,San Barnaba H Mangiagalli,2008,very_low,GUASTALLA,4,1,9.198447697731357,45.459513745263436
015,Cantore,2008,very_low,PORTA TICINESE - CONCHETTA,44,6,9.172674371555331,45.45587366154497
016,Moscova,2009,very_low,BRERA,2,1,9.184533827608986,45.477544986253605
017,Legnano Arena civica,2008,very_low,PARCO SEMPIONE,8,1,9.180886079168731,45.477148321057975
018,Tommaseo,2008,very_low,MAGENTA - S. VITTORE,7,1,9.166652007489404,45.46955639845393
019,Italia - Santa Sofia,2008,low,PORTA VIGENTINA - PORTA LODOVICA,5,1,9.187449835324339,45.45574184357932
020,Erculea,2008,very_low,DUOMO,1,1,9.189644818998417,45.45909579652023
021,Universita' Bocconi,2008,very_low,PORTA VIGENTINA - PORTA LODOVICA,5,5,9.190409240070856,45.448632567295896
